domain_length,domain_num_of_unique_char ,domain_num_of_unique_letters ,domain_num_of_unique_numbers ,ratio_of_letters_of_domain_name ,ratio_of_numbers_of_domain_name,ratio_of_unique_letters_to_num_of_unique_characters,ratio_of_unique_numbers_to_num_of_unique_characters
8,6,5,1,0.625,0.125,0.833333333,0.166666667
17,12,11,1,0.823529412,0.058823529,0.916666667,0.083333333
14,10,9,1,0.785714286,0.071428571,0.9,0.1
15,11,10,1,0.8,0.066666667,0.909090909,0.090909091
8,5,4,1,0.5,0.125,0.8,0.2
9,6,5,1,0.555555556,0.111111111,0.833333333,0.166666667
18,12,11,1,0.777777778,0.055555556,0.916666667,0.083333333
6,4,3,1,0.5,0.166666667,0.75,0.25
9,5,3,2,0.333333333,0.444444444,0.6,0.4
7,5,3,2,0.428571429,0.285714286,0.6,0.4
7,5,3,2,0.428571429,0.285714286,0.6,0.4
8,6,4,2,0.5,0.25,0.666666667,0.333333333
8,6,5,1,0.625,0.125,0.833333333,0.166666667
8,4,3,1,0.5,0.125,0.75,0.25
7,5,3,2,0.428571429,0.285714286,0.6,0.4
7,5,3,2,0.428571429,0.285714286,0.6,0.4
22,13,11,2,0.727272727,0.090909091,0.846153846,0.153846154
7,5,3,2,0.428571429,0.285714286,0.6,0.4
6,4,3,1,0.5,0.166666667,0.75,0.25
8,5,3,2,0.375,0.375,0.6,0.4
7,5,4,1,0.571428571,0.142857143,0.8,0.2
7,5,3,2,0.428571429,0.285714286,0.6,0.4
9,6,4,2,0.444444444,0.333333333,0.666666667,0.333333333
8,5,3,2,0.375,0.375,0.6,0.4
6,3,2,1,0.5,0.166666667,0.666666667,0.333333333
8,6,4,2,0.5,0.25,0.666666667,0.333333333
7,5,3,2,0.428571429,0.285714286,0.6,0.4
7,5,3,2,0.428571429,0.285714286,0.6,0.4
6,4,3,1,0.5,0.166666667,0.75,0.25
7,5,3,2,0.428571429,0.285714286,0.6,0.4
11,6,5,1,0.636363636,0.181818182,0.833333333,0.166666667
8,4,4,0,0.625,0,1,0
13,8,8,0,0.769230769,0,1,0
9,5,5,0,0.666666667,0,1,0
9,5,5,0,0.666666667,0,1,0
8,4,4,0,0.625,0,1,0
20,11,11,0,0.85,0,1,0
14,8,8,0,0.785714286,0,1,0
7,4,3,1,0.571428571,0.142857143,0.75,0.25
20,12,12,0,0.9,0,1,0
9,5,5,0,0.777777778,0,1,0
15,8,8,0,0.8,0,1,0
10,5,5,0,0.8,0,1,0
14,10,10,0,0.857142857,0,1,0
7,4,4,0,0.714285714,0,1,0
10,5,5,0,0.8,0,1,0
9,4,4,0,0.777777778,0,1,0
21,9,9,0,0.857142857,0,1,0
13,7,7,0,0.846153846,0,1,0
12,7,7,0,0.833333333,0,1,0
13,9,9,0,0.846153846,0,1,0
13,9,9,0,0.846153846,0,1,0
15,10,10,0,0.866666667,0,1,0
11,6,6,0,0.818181818,0,1,0
7,4,4,0,0.714285714,0,1,0
12,6,6,0,0.833333333,0,1,0
12,7,7,0,0.833333333,0,1,0
7,4,4,0,0.714285714,0,1,0
11,7,7,0,0.818181818,0,1,0
9,6,6,0,0.777777778,0,1,0
13,9,9,0,0.846153846,0,1,0
11,7,7,0,0.818181818,0,1,0
14,8,8,0,0.857142857,0,1,0
12,8,8,0,0.833333333,0,1,0
37,15,15,0,0.837837838,0,1,0
10,4,4,0,0.7,0,1,0
11,6,6,0,0.727272727,0,1,0
11,7,7,0,0.727272727,0,1,0
14,6,6,0,0.857142857,0,1,0
7,4,4,0,0.714285714,0,1,0
15,9,9,0,0.866666667,0,1,0
9,6,6,0,0.777777778,0,1,0
29,12,12,0,0.862068966,0,1,0
28,11,11,0,0.857142857,0,1,0
30,12,12,0,0.866666667,0,1,0
29,11,11,0,0.862068966,0,1,0
16,10,10,0,0.875,0,1,0
11,8,8,0,0.818181818,0,1,0
10,6,6,0,0.8,0,1,0
11,7,7,0,0.818181818,0,1,0
8,5,5,0,0.75,0,1,0
17,9,9,0,0.823529412,0,1,0
16,9,9,0,0.8125,0,1,0
15,8,8,0,0.8,0,1,0
7,4,4,0,0.714285714,0,1,0
18,9,9,0,0.888888889,0,1,0
13,9,9,0,0.846153846,0,1,0
9,4,4,0,0.777777778,0,1,0
14,10,10,0,0.857142857,0,1,0
11,8,8,0,0.818181818,0,1,0
18,11,11,0,0.888888889,0,1,0
17,9,9,0,0.882352941,0,1,0
10,6,6,0,0.8,0,1,0
13,9,9,0,0.846153846,0,1,0
13,7,7,0,0.846153846,0,1,0
15,9,9,0,0.866666667,0,1,0
7,4,4,0,0.714285714,0,1,0
7,4,4,0,0.714285714,0,1,0
9,5,5,0,0.777777778,0,1,0
13,8,8,0,0.692307692,0,1,0
12,7,7,0,0.75,0,1,0
11,7,7,0,0.727272727,0,1,0
10,4,4,0,0.6,0,1,0
15,9,9,0,0.733333333,0,1,0
18,9,9,0,0.777777778,0,1,0
16,10,10,0,0.75,0,1,0
18,11,11,0,0.777777778,0,1,0
15,9,9,0,0.733333333,0,1,0
8,5,5,0,0.625,0,1,0
18,12,12,0,0.833333333,0,1,0
8,4,4,0,0.625,0,1,0
15,8,8,0,0.733333333,0,1,0
8,4,4,0,0.625,0,1,0
12,7,7,0,0.75,0,1,0
17,10,10,0,0.823529412,0,1,0
12,6,6,0,0.75,0,1,0
12,7,5,2,0.416666667,0.166666667,0.714285714,0.285714286
11,7,7,0,0.636363636,0,1,0
13,8,8,0,0.769230769,0,1,0
8,5,5,0,0.625,0,1,0
12,8,8,0,0.75,0,1,0
11,7,5,2,0.454545455,0.181818182,0.714285714,0.285714286
15,9,9,0,0.733333333,0,1,0
23,11,11,0,0.826086957,0,1,0
11,6,6,0,0.727272727,0,1,0
8,5,5,0,0.625,0,1,0
9,6,6,0,0.666666667,0,1,0
12,6,6,0,0.666666667,0,1,0
8,5,5,0,0.625,0,1,0
12,7,7,0,0.75,0,1,0
8,5,5,0,0.625,0,1,0
8,5,5,0,0.625,0,1,0
6,4,4,0,0.666666667,0,1,0
25,14,14,0,0.88,0,1,0
10,4,4,0,0.8,0,1,0
9,5,5,0,0.777777778,0,1,0
15,9,9,0,0.866666667,0,1,0
11,7,7,0,0.818181818,0,1,0
9,4,4,0,0.777777778,0,1,0
8,5,5,0,0.75,0,1,0
9,6,6,0,0.777777778,0,1,0
10,6,6,0,0.8,0,1,0
11,7,7,0,0.818181818,0,1,0
21,9,9,0,0.761904762,0,1,0
21,8,8,0,0.761904762,0,1,0
21,9,9,0,0.761904762,0,1,0
11,7,7,0,0.818181818,0,1,0
13,10,10,0,0.846153846,0,1,0
12,8,8,0,0.833333333,0,1,0
12,8,8,0,0.833333333,0,1,0
9,6,6,0,0.777777778,0,1,0
13,10,10,0,0.846153846,0,1,0
9,6,6,0,0.777777778,0,1,0
9,6,6,0,0.777777778,0,1,0
8,5,5,0,0.75,0,1,0
14,10,10,0,0.857142857,0,1,0
12,8,8,0,0.833333333,0,1,0
13,10,10,0,0.846153846,0,1,0
20,10,10,0,0.85,0,1,0
14,8,8,0,0.857142857,0,1,0
12,7,7,0,0.833333333,0,1,0
13,7,7,0,0.846153846,0,1,0
9,6,6,0,0.777777778,0,1,0
10,7,7,0,0.8,0,1,0
8,5,5,0,0.75,0,1,0
7,3,3,0,0.714285714,0,1,0
7,4,4,0,0.714285714,0,1,0
9,6,6,0,0.777777778,0,1,0
7,4,4,0,0.714285714,0,1,0
7,5,5,0,0.714285714,0,1,0
12,8,8,0,0.833333333,0,1,0
8,5,5,0,0.75,0,1,0
19,9,9,0,0.842105263,0,1,0
20,14,14,0,0.85,0,1,0
12,8,8,0,0.833333333,0,1,0
8,4,4,0,0.75,0,1,0
9,6,6,0,0.777777778,0,1,0
11,8,8,0,0.818181818,0,1,0
9,5,5,0,0.777777778,0,1,0
16,9,9,0,0.8125,0,1,0
15,9,9,0,0.8,0,1,0
9,7,7,0,0.777777778,0,1,0
13,9,9,0,0.846153846,0,1,0
14,9,9,0,0.857142857,0,1,0
12,10,10,0,0.833333333,0,1,0
11,8,8,0,0.818181818,0,1,0
12,9,9,0,0.833333333,0,1,0
14,8,8,0,0.857142857,0,1,0
16,12,12,0,0.875,0,1,0
16,9,9,0,0.875,0,1,0
16,11,11,0,0.875,0,1,0
10,8,8,0,0.8,0,1,0
19,10,10,0,0.842105263,0,1,0
17,9,9,0,0.823529412,0,1,0
16,10,10,0,0.875,0,1,0
14,10,10,0,0.857142857,0,1,0
7,5,5,0,0.714285714,0,1,0
12,9,9,0,0.833333333,0,1,0
10,7,7,0,0.8,0,1,0
11,7,7,0,0.818181818,0,1,0
12,8,8,0,0.75,0,1,0
9,6,6,0,0.777777778,0,1,0
9,6,6,0,0.777777778,0,1,0
16,9,9,0,0.875,0,1,0
15,9,9,0,0.866666667,0,1,0
16,9,9,0,0.875,0,1,0
16,10,10,0,0.875,0,1,0
38,16,16,0,0.815789474,0,1,0
18,11,11,0,0.777777778,0,1,0
16,10,10,0,0.75,0,1,0
18,10,10,0,0.777777778,0,1,0
11,8,8,0,0.727272727,0,1,0
8,6,6,0,0.75,0,1,0
8,6,6,0,0.75,0,1,0
19,12,12,0,0.842105263,0,1,0
11,4,4,0,0.727272727,0,1,0
11,7,7,0,0.727272727,0,1,0
10,6,6,0,0.7,0,1,0
11,7,7,0,0.727272727,0,1,0
10,7,7,0,0.8,0,1,0
11,8,8,0,0.818181818,0,1,0
11,8,8,0,0.818181818,0,1,0
17,10,10,0,0.823529412,0,1,0
11,8,8,0,0.818181818,0,1,0
10,7,7,0,0.8,0,1,0
9,7,7,0,0.777777778,0,1,0
15,9,9,0,0.8,0,1,0
14,8,8,0,0.785714286,0,1,0
9,6,6,0,0.777777778,0,1,0
12,8,8,0,0.75,0,1,0
9,7,7,0,0.777777778,0,1,0
13,9,9,0,0.846153846,0,1,0
14,9,9,0,0.857142857,0,1,0
18,12,12,0,0.833333333,0,1,0
9,7,7,0,0.777777778,0,1,0
12,10,10,0,0.833333333,0,1,0
11,8,8,0,0.818181818,0,1,0
14,9,9,0,0.857142857,0,1,0
9,7,7,0,0.777777778,0,1,0
9,6,6,0,0.777777778,0,1,0
8,6,6,0,0.75,0,1,0
9,7,7,0,0.777777778,0,1,0
12,8,8,0,0.833333333,0,1,0
11,8,8,0,0.818181818,0,1,0
12,9,9,0,0.833333333,0,1,0
9,6,6,0,0.777777778,0,1,0
10,6,6,0,0.8,0,1,0
11,7,7,0,0.818181818,0,1,0
13,8,8,0,0.846153846,0,1,0
13,8,8,0,0.846153846,0,1,0
13,8,8,0,0.846153846,0,1,0
13,8,8,0,0.846153846,0,1,0
10,7,7,0,0.8,0,1,0
18,11,11,0,0.888888889,0,1,0
8,5,5,0,0.75,0,1,0
15,10,10,0,0.866666667,0,1,0
12,7,7,0,0.833333333,0,1,0
11,7,7,0,0.818181818,0,1,0
12,8,8,0,0.833333333,0,1,0
12,8,8,0,0.833333333,0,1,0
14,7,7,0,0.857142857,0,1,0
15,10,10,0,0.8,0,1,0
8,5,5,0,0.75,0,1,0
26,14,14,0,0.846153846,0,1,0
12,9,9,0,0.833333333,0,1,0
15,9,9,0,0.866666667,0,1,0
12,8,8,0,0.833333333,0,1,0
12,9,9,0,0.833333333,0,1,0
12,8,8,0,0.833333333,0,1,0
12,7,7,0,0.833333333,0,1,0
8,6,6,0,0.75,0,1,0
7,5,5,0,0.714285714,0,1,0
7,5,5,0,0.714285714,0,1,0
13,9,9,0,0.846153846,0,1,0
13,10,10,0,0.846153846,0,1,0
9,6,6,0,0.777777778,0,1,0
13,9,9,0,0.846153846,0,1,0
9,7,7,0,0.777777778,0,1,0
12,8,8,0,0.833333333,0,1,0
14,9,9,0,0.857142857,0,1,0
21,13,13,0,0.857142857,0,1,0
20,13,13,0,0.85,0,1,0
11,8,8,0,0.818181818,0,1,0
10,8,8,0,0.8,0,1,0
8,6,6,0,0.75,0,1,0
8,6,6,0,0.75,0,1,0
16,8,8,0,0.8125,0,1,0
8,5,5,0,0.625,0,1,0
32,15,15,0,0.875,0,1,0
15,9,9,0,0.8,0,1,0
17,12,12,0,0.823529412,0,1,0
9,5,5,0,0.666666667,0,1,0
8,5,5,0,0.625,0,1,0
8,5,5,0,0.625,0,1,0
17,11,11,0,0.764705882,0,1,0
8,5,5,0,0.625,0,1,0
8,4,4,0,0.625,0,1,0
8,5,5,0,0.625,0,1,0
8,5,5,0,0.625,0,1,0
11,6,6,0,0.636363636,0,1,0
8,5,5,0,0.625,0,1,0
8,5,5,0,0.625,0,1,0
13,9,9,0,0.769230769,0,1,0
8,5,5,0,0.625,0,1,0
8,5,5,0,0.625,0,1,0
8,5,5,0,0.625,0,1,0
14,8,8,0,0.785714286,0,1,0
8,5,5,0,0.625,0,1,0
9,6,6,0,0.666666667,0,1,0
14,9,9,0,0.785714286,0,1,0
11,5,5,0,0.636363636,0,1,0
11,7,7,0,0.727272727,0,1,0
8,5,5,0,0.625,0,1,0
15,10,10,0,0.8,0,1,0
6,4,4,0,0.666666667,0,1,0
8,4,4,0,0.75,0,1,0
14,7,7,0,0.785714286,0,1,0
14,9,9,0,0.857142857,0,1,0
11,8,8,0,0.818181818,0,1,0
12,8,8,0,0.833333333,0,1,0
28,13,13,0,0.857142857,0,1,0
18,10,10,0,0.833333333,0,1,0
18,11,11,0,0.833333333,0,1,0
20,10,10,0,0.85,0,1,0
19,8,8,0,0.842105263,0,1,0
23,11,11,0,0.869565217,0,1,0
29,13,13,0,0.862068966,0,1,0
28,12,12,0,0.857142857,0,1,0
29,13,13,0,0.862068966,0,1,0
18,9,9,0,0.833333333,0,1,0
21,9,9,0,0.857142857,0,1,0
22,10,10,0,0.863636364,0,1,0
22,11,11,0,0.863636364,0,1,0
21,11,11,0,0.857142857,0,1,0
19,11,11,0,0.842105263,0,1,0
19,9,9,0,0.842105263,0,1,0
17,8,8,0,0.823529412,0,1,0
21,12,12,0,0.857142857,0,1,0
24,10,10,0,0.875,0,1,0
20,9,9,0,0.85,0,1,0
20,10,10,0,0.85,0,1,0
13,6,6,0,0.846153846,0,1,0
13,7,7,0,0.846153846,0,1,0
16,9,7,2,0.75,0.125,0.777777778,0.222222222
16,9,7,2,0.75,0.125,0.777777778,0.222222222
16,8,8,0,0.8125,0,1,0
13,7,7,0,0.769230769,0,1,0
12,6,6,0,0.75,0,1,0
9,4,4,0,0.777777778,0,1,0
9,5,5,0,0.777777778,0,1,0
9,5,5,0,0.777777778,0,1,0
13,9,9,0,0.846153846,0,1,0
12,9,9,0,0.833333333,0,1,0
24,11,11,0,0.833333333,0,1,0
23,11,11,0,0.826086957,0,1,0
8,5,5,0,0.75,0,1,0
9,5,5,0,0.777777778,0,1,0
7,5,5,0,0.714285714,0,1,0
17,10,10,0,0.882352941,0,1,0
16,10,10,0,0.875,0,1,0
8,5,5,0,0.75,0,1,0
9,6,6,0,0.777777778,0,1,0
8,6,6,0,0.75,0,1,0
10,6,6,0,0.8,0,1,0
15,10,10,0,0.866666667,0,1,0
18,10,10,0,0.833333333,0,1,0
8,6,6,0,0.75,0,1,0
14,9,9,0,0.857142857,0,1,0
11,7,7,0,0.727272727,0,1,0
11,9,9,0,0.818181818,0,1,0
24,12,12,0,0.833333333,0,1,0
7,5,5,0,0.714285714,0,1,0
16,9,9,0,0.8125,0,1,0
10,6,6,0,0.8,0,1,0
18,8,8,0,0.833333333,0,1,0
12,7,7,0,0.833333333,0,1,0
12,9,9,0,0.833333333,0,1,0
11,7,7,0,0.818181818,0,1,0
12,8,8,0,0.833333333,0,1,0
9,6,6,0,0.777777778,0,1,0
9,7,7,0,0.777777778,0,1,0
21,14,14,0,0.904761905,0,1,0
26,12,12,0,0.846153846,0,1,0
9,6,6,0,0.777777778,0,1,0
18,9,9,0,0.833333333,0,1,0
11,7,7,0,0.818181818,0,1,0
11,8,8,0,0.818181818,0,1,0
12,7,7,0,0.833333333,0,1,0
13,7,7,0,0.846153846,0,1,0
10,7,7,0,0.8,0,1,0
16,8,8,0,0.8125,0,1,0
15,10,10,0,0.8,0,1,0
28,15,15,0,0.892857143,0,1,0
27,16,16,0,0.888888889,0,1,0
22,12,12,0,0.863636364,0,1,0
21,11,11,0,0.857142857,0,1,0
20,9,9,0,0.85,0,1,0
12,8,8,0,0.833333333,0,1,0
11,8,8,0,0.818181818,0,1,0
13,10,10,0,0.769230769,0,1,0
13,7,7,0,0.846153846,0,1,0
13,9,9,0,0.846153846,0,1,0
17,11,11,0,0.823529412,0,1,0
13,6,6,0,0.846153846,0,1,0
9,7,7,0,0.777777778,0,1,0
13,9,9,0,0.846153846,0,1,0
12,7,7,0,0.833333333,0,1,0
13,8,8,0,0.846153846,0,1,0
12,9,9,0,0.833333333,0,1,0
18,10,10,0,0.833333333,0,1,0
22,10,10,0,0.863636364,0,1,0
18,12,12,0,0.833333333,0,1,0
10,7,7,0,0.8,0,1,0
22,11,11,0,0.818181818,0,1,0
14,9,9,0,0.857142857,0,1,0
9,5,5,0,0.777777778,0,1,0
8,6,6,0,0.75,0,1,0
11,8,8,0,0.818181818,0,1,0
7,5,5,0,0.714285714,0,1,0
8,5,5,0,0.75,0,1,0
8,5,5,0,0.75,0,1,0
11,8,8,0,0.818181818,0,1,0
8,6,6,0,0.75,0,1,0
9,6,6,0,0.777777778,0,1,0
16,10,10,0,0.8125,0,1,0
11,9,9,0,0.818181818,0,1,0
7,5,5,0,0.714285714,0,1,0
14,9,9,0,0.857142857,0,1,0
10,3,3,0,0.6,0,1,0
18,10,10,0,0.833333333,0,1,0
10,4,4,0,0.6,0,1,0
10,4,4,0,0.6,0,1,0
8,3,3,0,0.625,0,1,0
8,4,4,0,0.625,0,1,0
10,6,6,0,0.7,0,1,0
12,8,8,0,0.75,0,1,0
11,6,6,0,0.727272727,0,1,0
10,5,5,0,0.6,0,1,0
10,6,6,0,0.7,0,1,0
9,6,6,0,0.666666667,0,1,0
9,6,6,0,0.666666667,0,1,0
20,12,12,0,0.85,0,1,0
15,8,8,0,0.733333333,0,1,0
10,5,5,0,0.7,0,1,0
8,4,4,0,0.625,0,1,0
14,7,7,0,0.785714286,0,1,0
13,7,7,0,0.769230769,0,1,0
15,9,9,0,0.8,0,1,0
8,4,4,0,0.625,0,1,0
8,5,5,0,0.625,0,1,0
10,5,5,0,0.7,0,1,0
9,4,4,0,0.666666667,0,1,0
9,5,5,0,0.666666667,0,1,0
12,6,6,0,0.833333333,0,1,0
13,7,7,0,0.846153846,0,1,0
9,4,4,0,0.777777778,0,1,0
8,4,4,0,0.75,0,1,0
21,12,12,0,0.857142857,0,1,0
11,6,6,0,0.818181818,0,1,0
9,6,6,0,0.777777778,0,1,0
9,4,4,0,0.777777778,0,1,0
10,5,5,0,0.8,0,1,0
18,8,8,0,0.722222222,0,1,0
23,12,12,0,0.782608696,0,1,0
7,3,3,0,0.714285714,0,1,0
8,5,5,0,0.75,0,1,0
8,5,5,0,0.75,0,1,0
8,4,4,0,0.75,0,1,0
8,5,5,0,0.75,0,1,0
12,7,7,0,0.833333333,0,1,0
12,6,6,0,0.833333333,0,1,0
11,6,6,0,0.818181818,0,1,0
11,6,6,0,0.818181818,0,1,0
16,9,9,0,0.8125,0,1,0
12,6,6,0,0.833333333,0,1,0
10,4,4,0,0.8,0,1,0
14,8,8,0,0.857142857,0,1,0
9,7,7,0,0.777777778,0,1,0
10,7,7,0,0.8,0,1,0
9,5,5,0,0.777777778,0,1,0
12,8,8,0,0.833333333,0,1,0
14,11,11,0,0.785714286,0,1,0
13,8,8,0,0.769230769,0,1,0
12,9,9,0,0.833333333,0,1,0
11,6,6,0,0.818181818,0,1,0
7,4,4,0,0.714285714,0,1,0
7,4,4,0,0.714285714,0,1,0
12,8,8,0,0.833333333,0,1,0
9,6,6,0,0.777777778,0,1,0
12,7,7,0,0.833333333,0,1,0
15,8,8,0,0.866666667,0,1,0
13,8,8,0,0.846153846,0,1,0
9,6,6,0,0.777777778,0,1,0
12,7,7,0,0.833333333,0,1,0
10,6,6,0,0.8,0,1,0
11,7,7,0,0.818181818,0,1,0
11,7,7,0,0.818181818,0,1,0
9,7,7,0,0.777777778,0,1,0
10,7,7,0,0.8,0,1,0
9,5,5,0,0.777777778,0,1,0
7,4,4,0,0.714285714,0,1,0
8,5,5,0,0.75,0,1,0
7,4,4,0,0.714285714,0,1,0
8,5,5,0,0.75,0,1,0
21,11,11,0,0.857142857,0,1,0
14,9,9,0,0.785714286,0,1,0
12,6,6,0,0.833333333,0,1,0
13,7,7,0,0.846153846,0,1,0
9,6,6,0,0.777777778,0,1,0
11,7,7,0,0.818181818,0,1,0
8,5,5,0,0.75,0,1,0
13,6,6,0,0.769230769,0,1,0
14,8,8,0,0.857142857,0,1,0
13,6,6,0,0.846153846,0,1,0
18,9,9,0,0.833333333,0,1,0
9,5,5,0,0.777777778,0,1,0
11,5,5,0,0.818181818,0,1,0
13,7,7,0,0.846153846,0,1,0
10,6,6,0,0.8,0,1,0
15,11,11,0,0.866666667,0,1,0
14,9,9,0,0.857142857,0,1,0
15,10,10,0,0.866666667,0,1,0
15,11,11,0,0.866666667,0,1,0
11,6,6,0,0.818181818,0,1,0
18,10,10,0,0.777777778,0,1,0
9,6,6,0,0.777777778,0,1,0
10,7,7,0,0.8,0,1,0
8,6,6,0,0.75,0,1,0
9,4,4,0,0.777777778,0,1,0
10,6,6,0,0.8,0,1,0
9,6,6,0,0.777777778,0,1,0
7,4,4,0,0.714285714,0,1,0
8,3,3,0,0.625,0,1,0
8,3,3,0,0.625,0,1,0
15,10,10,0,0.8,0,1,0
13,7,7,0,0.769230769,0,1,0
20,11,11,0,0.8,0,1,0
8,4,4,0,0.625,0,1,0
12,6,6,0,0.583333333,0,1,0
8,4,4,0,0.625,0,1,0
18,11,11,0,0.777777778,0,1,0
13,8,8,0,0.769230769,0,1,0
9,5,5,0,0.666666667,0,1,0
8,4,4,0,0.625,0,1,0
8,4,4,0,0.625,0,1,0
10,6,6,0,0.7,0,1,0
9,5,5,0,0.666666667,0,1,0
9,5,5,0,0.666666667,0,1,0
13,8,8,0,0.769230769,0,1,0
9,5,5,0,0.666666667,0,1,0
12,6,6,0,0.75,0,1,0
6,4,4,0,0.666666667,0,1,0
13,6,6,0,0.846153846,0,1,0
7,4,4,0,0.714285714,0,1,0
16,8,8,0,0.875,0,1,0
12,7,7,0,0.833333333,0,1,0
12,8,8,0,0.833333333,0,1,0
9,6,6,0,0.777777778,0,1,0
12,9,9,0,0.833333333,0,1,0
9,6,6,0,0.777777778,0,1,0
14,7,7,0,0.857142857,0,1,0
11,7,7,0,0.818181818,0,1,0
8,4,4,0,0.75,0,1,0
7,5,5,0,0.714285714,0,1,0
11,6,6,0,0.818181818,0,1,0
11,7,7,0,0.818181818,0,1,0
13,9,9,0,0.846153846,0,1,0
14,10,10,0,0.785714286,0,1,0
17,9,9,0,0.823529412,0,1,0
18,9,9,0,0.833333333,0,1,0
11,6,6,0,0.818181818,0,1,0
15,10,10,0,0.8,0,1,0
14,9,9,0,0.857142857,0,1,0
8,6,6,0,0.75,0,1,0
12,8,8,0,0.833333333,0,1,0
16,12,12,0,0.875,0,1,0
10,7,7,0,0.8,0,1,0
11,6,6,0,0.818181818,0,1,0
13,9,9,0,0.846153846,0,1,0
19,10,10,0,0.894736842,0,1,0
12,9,9,0,0.833333333,0,1,0
11,8,8,0,0.818181818,0,1,0
12,7,7,0,0.833333333,0,1,0
10,6,6,0,0.8,0,1,0
15,9,9,0,0.866666667,0,1,0
14,6,6,0,0.857142857,0,1,0
11,7,7,0,0.818181818,0,1,0
11,7,7,0,0.818181818,0,1,0
17,9,9,0,0.882352941,0,1,0
16,7,7,0,0.875,0,1,0
10,5,5,0,0.8,0,1,0
11,7,7,0,0.818181818,0,1,0
9,6,6,0,0.777777778,0,1,0
8,5,5,0,0.75,0,1,0
16,11,11,0,0.875,0,1,0
9,5,5,0,0.666666667,0,1,0
7,4,4,0,0.714285714,0,1,0
7,5,5,0,0.714285714,0,1,0
10,5,5,0,0.7,0,1,0
11,7,7,0,0.818181818,0,1,0
10,6,6,0,0.8,0,1,0
10,7,7,0,0.8,0,1,0
10,6,6,0,0.8,0,1,0
11,8,8,0,0.818181818,0,1,0
10,6,6,0,0.8,0,1,0
10,6,6,0,0.8,0,1,0
10,7,7,0,0.8,0,1,0
12,9,9,0,0.833333333,0,1,0
8,5,5,0,0.75,0,1,0
9,6,6,0,0.666666667,0,1,0
8,5,5,0,0.625,0,1,0
8,5,5,0,0.625,0,1,0
8,5,5,0,0.625,0,1,0
8,5,5,0,0.625,0,1,0
16,11,11,0,0.75,0,1,0
8,5,5,0,0.625,0,1,0
11,8,8,0,0.727272727,0,1,0
13,8,8,0,0.769230769,0,1,0
11,7,7,0,0.636363636,0,1,0
10,5,5,0,0.6,0,1,0
8,5,5,0,0.625,0,1,0
